DATE,AAPL,META,MSFT,GOOG,AMZN,MKT,SMB,HML,RF,WINDOW,LAAPL,LMETA,LMSFT,LGOOG,LAMZN,RAAPL,RMETA,RMSFT,RGOOG,RAMZN,ERAAPL,ERMETA,ERMSFT,ERGOOG,ERAMZN
07/03/2019,41.62413,169.130005,105.273712,57.165001,81.297501,-0.82,-0.07,-0.33,0.009,0,1.619345169,2.228220662,2.022319937,1.757130215,1.910077196,-0.505608846,-0.859360088,-0.531785733,-0.549585475,-1.133614457,-0.514608846,-0.868360088,-0.540785733,-0.558585475,-1.142614457
08/03/2019,41.723057,169.600006,105.388153,57.116001,81.040001,-0.22,0.04,-0.16,0.009,0,1.620376121,2.229425863,2.022791793,1.756757793,1.908699438,0.10309519,0.120520158,0.047185664,-0.03724229,-0.137775833,0.09409519,0.111520158,0.038185664,-0.04624229,-0.146775833
11/03/2019,43.168446,172.070007,107.600639,58.787998,83.530998,1.49,0.36,-0.53,0.009,0,1.635166415,2.235705176,2.03181485,1.769288671,1.92184767,1.479029381,0.627931309,0.902305718,1.25308782,1.314823253,1.470029381,0.618931309,0.893305718,1.24408782,1.305823253
12/03/2019,43.653461,171.919998,108.354019,59.66,83.654999,0.25,-0.28,-0.09,0.009,0,1.640018682,2.235326397,2.034845025,1.775683249,1.922491898,0.485226682,-0.037877894,0.303017409,0.63945783,0.064422812,0.476226682,-0.046877894,0.294017409,0.63045783,0.055422812
13/03/2019,43.8465,173.369995,109.19323,59.666,84.540497,0.68,-0.31,0.07,0.009,0,1.641934932,2.238973937,2.038195713,1.775726924,1.927064797,0.191625019,0.364753923,0.335068833,0.004367475,0.457289829,0.182625019,0.355753923,0.326068833,-0.004632525,0.448289829
14/03/2019,44.33392,170.169998,109.279053,59.2775,84.310997,-0.1,-0.4,0.3,0.009,0,1.646736133,2.230882994,2.038536923,1.772889879,1.925884225,0.480120127,-0.809094291,0.034120994,-0.283704458,-0.118057167,0.471120127,-0.818094291,0.025120994,-0.292704458,-0.127057167
15/03/2019,44.910633,165.979996,110.53788,59.223,85.617996,0.48,-0.26,-0.25,0.009,0,1.652349176,2.22005575,2.043511131,1.772490403,1.932565058,0.561304307,-1.082724397,0.497420821,-0.039947597,0.668083341,0.552304307,-1.091724397,0.488420821,-0.048947597,0.659083341
18/03/2019,45.369099,160.470001,112.120949,59.213001,87.107498,0.46,0.16,0.44,0.009,0,1.656760155,2.205393855,2.049686765,1.772417072,1.94005554,0.441097822,-1.466189446,0.617563399,-0.007333092,0.749048123,0.432097822,-1.475189446,0.608563399,-0.016333092,0.740048123
19/03/2019,45.00956,161.570007,112.197227,59.942501,88.092499,-0.09,-0.39,-0.93,0.009,0,1.653304767,2.208360744,2.049982123,1.777734859,1.94493893,-0.345538713,0.296688847,0.029535828,0.531778689,0.488339057,-0.354538713,0.287688847,0.020535828,0.522778689,0.479339057
20/03/2019,45.402878,165.440002,112.07325,61.198502,89.863503,-0.39,0.02,-1.05,0.009,0,1.657083383,2.218640527,2.049501966,1.786740792,1.953583344,0.377861538,1.027978287,-0.048015711,0.900593254,0.864441378,0.368861538,1.018978287,-0.057015711,0.891593254,0.855441378
21/03/2019,47.075089,166.080002,114.648117,61.577,90.962997,1.11,0.3,-1.23,0.009,0,1.67279115,2.220317341,2.059366926,1.789418526,1.958864761,1.570776695,0.167681473,0.986496002,0.267773474,0.528141685,1.561776695,0.158681473,0.977496002,0.258773474,0.519141685
22/03/2019,46.100239,164.339996,111.625023,60.275002,88.238503,-2.17,-1.52,-0.07,0.009,0,1.663703177,2.215743272,2.047761561,1.780137233,1.945658132,-0.908797283,-0.457406933,-1.160536482,-0.928129302,-1.320662929,-0.917797283,-0.466406933,-1.169536482,-0.937129302,-1.329662929
